timestamp,value
0,16128.87538
1,19375.07599
2,19006.68693
3,18361.09422
4,17872.34043
5,17416.41337
6,16993.31307
7,16661.39818
8,16227.355619999998
9,15939.20973
10,15435.86626
11,15213.37386
12,15169.60486
13,14710.0304
14,14421.8845
15,14104.559269999998
16,13965.95745
17,13612.15805
18,13535.56231
19,13371.42857
20,13196.35258
21,13167.17325
22,13137.99392
23,12908.20669
24,12820.66869
25,13032.21884
26,12926.44377
27,12948.32827
28,12922.79635
29,12879.02736
30,12806.07903
31,12853.49544
32,12842.55319
33,13137.99392
34,13203.64742
35,13575.68389
36,14068.08511
37,13852.88754
38,13626.74772
39,13582.97872
40,13539.20973
41,12908.20669
42,12342.85714
43,11897.87234
44,11551.36778
45,11263.22188
46,10719.75684
47,10924.01216
48,10949.54407
49,11347.11246
50,11733.7386
51,11945.28875
52,12029.17933
53,12426.74772
54,12871.73252
55,13203.64742
56,13542.85714
57,14046.20061
58,14392.70517
59,14830.39514
60,15238.90578
61,15837.08207
62,16059.57447
63,16322.18845
64,16774.468090000002
65,17164.74164
66,17507.59878
67,17478.41945
68,17792.09726
69,17748.328269999998
70,17963.525840000002
71,18142.24924
72,18131.30699
73,18102.12766
74,18156.83891
75,18335.56231
76,18204.25532
77,18196.96049
78,18466.8693
79,18350.15198
80,18331.91489
81,18419.45289
82,18310.0304
83,18390.27356
84,18353.79939
85,18142.24924
86,18113.06991
87,18036.47416
88,17996.352580000002
89,17952.583590000002
90,17894.22492
91,17846.80851
92,17525.83587
93,17547.72036
94,17770.21277
95,17751.97568
96,17646.20061
97,17514.89362
98,17325.22796
99,17456.53495
100,17449.24012
101,17627.96353
102,17708.20669
103,18649.24012
104,20192.09726
105,22238.29787
106,23613.37386
107,24167.78116
108,24455.92705
109,24463.22188
110,24000.0
111,24251.67173
112,24401.21581
113,24598.17629
114,24477.81155
115,24729.48328
116,24671.12462
117,24678.41945
118,24842.55319
119,24755.0152
120,24919.14894
121,25137.99392
122,25437.08207
123,25597.56839
124,25706.99088
125,25637.68997
126,25396.96049
127,25309.42249
128,24900.91185
129,24827.96353
130,24455.92705
131,24127.65957
132,24000.0
133,23872.34043
134,23306.99088
135,22975.07599
136,22489.9696
137,21760.48632
138,21253.49544
139,20768.38906
140,20337.99392
141,19823.70821
142,19488.1459
143,18962.91793
144,18047.41641
145,17507.59878
146,17120.97264
147,16785.410330000002
148,16453.49544
149,16132.5228
150,15720.36474
151,15304.559269999998
152,15136.77812
153,14637.08207
154,14414.58967
155,14250.455930000002
156,14294.22492
157,14057.14286
158,13823.70821
159,13783.586630000002
160,13608.51064
161,13448.02432
162,13524.62006
163,13480.85106
164,13517.32523
165,13484.498480000002
166,13437.08207
167,13353.19149
168,13090.57751
169,13218.23708
170,13196.35258
171,13280.24316
172,13287.53799
173,13418.84498
174,13517.32523
175,13612.15805
176,13736.17021
177,13834.65046
178,14057.14286
179,14706.38298
180,15089.3617
181,14961.70213
182,15176.8997
183,15545.28875
184,15749.544069999998
185,15567.17325
186,15607.29483
187,16001.21581
188,15964.74164
189,15698.48024
190,15483.28267
191,15501.51976
192,15537.99392
193,15906.38298
194,16289.3617
195,16737.993919999994
196,16891.18541
197,17135.56231
198,17248.63222
199,17668.08511
200,18102.12766
201,18302.73556
202,18587.23404
203,19236.47416
204,19393.31307
205,19634.04255
206,19998.78419
207,20038.90578
208,20119.14894
209,20498.48024
210,20618.84498
211,20655.31915
212,20808.51064
213,21009.11854
214,21020.06079
215,20870.51672
216,20757.44681
217,20429.179330000006
218,19608.51064
219,19604.86322
220,19706.99088
221,19597.56839
222,19593.92097
223,19568.38906
224,19608.51064
225,19728.87538
226,19462.61398
227,19469.90881
228,19517.32523
229,19914.89362
230,19936.77812
231,19878.41945
232,20053.49544
233,21669.30091
234,21559.87842
235,21574.46809
236,21260.79027
237,21406.68693
238,21275.37994
239,20936.17021
240,20728.26748
241,20750.15198
242,20611.55015
243,20545.89666
244,20604.25532
245,20607.90274
246,21198.78419
247,22008.51064
248,23908.81459
249,25783.58663
250,26764.74164
251,27195.13678
252,27206.07903
253,27114.89362
254,26888.7538
255,26950.75988
256,26979.939210000004
257,26786.62614
258,26731.91489
259,26888.7538
260,27045.59271
261,26874.16413
262,26866.8693
263,26739.20973
264,26531.30699
265,26881.45897
266,26921.58055
267,26859.57447
268,26808.51064
269,26691.79331
270,26564.13374
271,26316.10942
272,26082.67477
273,25710.6383
274,25572.03647
275,25003.03951
276,24755.0152
277,24295.44073
278,23700.91185
279,23401.82371
280,22869.30091
281,22271.12462
282,21753.19149
283,21136.77812
284,20593.31307
285,20221.2766
286,19455.31915
287,19079.63526
288,18579.93921
289,18076.59574
290,17595.13678
291,17190.273559999998
292,16737.993919999994
293,16037.68997
294,15749.544069999998
295,15578.1155
296,15432.21884
297,14994.528880000002
298,14837.68997
299,14710.0304
300,14538.601819999998
301,14155.6231
302,14111.8541
303,13940.42553
304,13816.413369999998
305,13889.3617
306,13944.07295
307,13706.99088
308,13696.04863
309,13586.62614
310,13579.33131
311,13462.613980000002
312,13586.62614
313,13550.15198
314,13641.33739
315,13747.11246
316,13615.80547
317,13626.74772
318,13739.81763
319,13841.94529
320,13885.71429
321,13940.42553
322,14144.68085
323,14648.02432
324,15403.03951
325,15326.443769999998
326,15516.10942
327,15702.12766
328,16034.04255
329,16001.21581
330,16034.04255
331,16486.32219
332,16639.51368
333,16329.48328
334,15982.97872
335,15899.08815
336,15957.44681
337,16249.24012
338,16635.86626
339,17084.498480000002
340,17427.35562
341,17595.13678
342,18032.82675
343,18470.51672
344,18838.90578
345,19105.16717
346,19141.64134
347,19254.71125
348,19473.55623
349,19728.87538
350,20254.10334
351,20538.60182
352,20994.52888
353,21089.3617
354,21155.0152
355,21246.20061
356,21195.13678
357,21373.86018
358,21424.92401
359,21479.63526
360,21508.81459
361,21822.4924
362,21811.55015
363,21789.66565
364,21833.43465
365,21848.02432
366,21672.948330000007
367,21669.30091
368,21702.12766
369,21472.34043
370,21344.68085
371,21417.62918
372,21541.64134
373,21545.28875
374,21483.28267
375,21764.13374
376,21698.48024
377,21592.70517
378,21424.92401
379,21574.46809
380,21392.09726
381,21443.16109
382,21439.51368
383,21162.31003
384,21012.76596
385,21045.59271
386,21155.0152
387,21049.24012
388,21224.31611
389,21523.40426
390,21924.62006
391,22686.93009
392,23850.45593
393,25670.51672
394,26786.62614
395,27213.373860000003
396,27209.72644
397,27300.91185
398,27257.142860000004
399,27279.027360000004
400,27235.258360000003
401,27184.19453
402,27217.02128
403,27271.73252
404,27257.142860000004
405,27206.07903
406,26998.17629
407,26855.92705
408,26819.45289
409,27151.36778
410,27253.49544
411,27176.8997
412,27155.0152
413,27005.47112
414,26939.81763
415,26772.03647
416,26447.41641
417,26239.51368
418,25947.72036
419,25407.90274
420,24962.91793
421,24641.94529
422,24058.35866
423,23544.07295
424,23164.74164
425,22581.15502
426,21610.94225
427,21082.06687
428,20768.38906
429,20250.45593
430,19728.87538
431,19148.93617
432,18612.76596
433,18350.15198
434,17803.03951
435,17361.70213
436,17066.2614
437,16402.43161
438,15833.43465
439,15643.768999999998
440,15140.42553
441,14994.528880000002
442,14626.13982
443,14378.1155
444,14144.68085
445,14060.79027
446,13987.84195
447,13798.17629
448,13732.5228
449,13608.51064
450,13542.85714
451,13433.43465
452,13353.19149
453,13407.90274
454,13375.07599
455,13404.25532
456,13294.83283
457,13269.30091
458,13272.94833
459,13393.31307
460,13265.6535
461,13272.94833
462,13524.62006
463,13663.22188
464,13725.22796
465,13951.36778
466,14148.328269999998
467,14666.2614
468,15359.270519999998
469,15341.03343
470,15337.386019999998
471,15373.86018
472,15753.19149
473,15734.95441
474,15826.13982
475,16132.5228
476,16117.93313
